Unnamed: 0,timestamp,value,rolling_mean
0,2019-07-14,6,
1,2019-07-15,7,
2,2019-07-16,6,
3,2019-07-17,6,
4,2019-07-18,7,
5,2019-07-19,6,
6,2019-07-20,7,
7,2019-07-21,6,
8,2019-07-22,6,
9,2019-07-23,6,
10,2019-07-24,6,
11,2019-07-25,6,6.25
12,2019-07-26,6,6.25
13,2019-07-27,6,6.166666666666667
14,2019-07-28,6,6.166666666666667
15,2019-07-29,6,6.166666666666667
16,2019-07-30,6,6.083333333333333
17,2019-07-31,7,6.166666666666667
18,2019-08-01,6,6.083333333333333
19,2019-08-02,6,6.083333333333333
20,2019-08-03,6,6.083333333333333
21,2019-08-04,6,6.083333333333333
22,2019-08-05,7,6.166666666666667
23,2019-08-06,6,6.166666666666667
24,2019-08-07,6,6.166666666666667
25,2019-08-08,6,6.166666666666667
26,2019-08-09,6,6.166666666666667
27,2019-08-10,6,6.166666666666667
28,2019-08-11,6,6.166666666666667
29,2019-08-12,7,6.166666666666667
30,2019-08-13,6,6.166666666666667
31,2019-08-14,7,6.25
32,2019-08-15,6,6.25
33,2019-08-16,7,6.333333333333333
34,2019-08-17,7,6.333333333333333
35,2019-08-18,6,6.333333333333333
36,2019-08-19,7,6.416666666666667
37,2019-08-20,6,6.416666666666667
38,2019-08-21,7,6.5
39,2019-08-22,7,6.583333333333333
40,2019-08-23,6,6.583333333333333
41,2019-08-24,6,6.5
42,2019-08-25,6,6.5
43,2019-08-26,6,6.416666666666667
44,2019-08-27,7,6.5
45,2019-08-28,6,6.416666666666667
46,2019-08-29,6,6.333333333333333
47,2019-08-30,7,6.416666666666667
48,2019-08-31,6,6.333333333333333
49,2019-09-01,6,6.333333333333333
50,2019-09-02,6,6.25
51,2019-09-03,6,6.166666666666667
52,2019-09-04,7,6.25
53,2019-09-05,6,6.25
54,2019-09-06,7,6.333333333333333
55,2019-09-07,7,6.416666666666667
56,2019-09-08,6,6.333333333333333
57,2019-09-09,7,6.416666666666667
58,2019-09-10,7,6.5
59,2019-09-11,6,6.416666666666667
60,2019-09-12,6,6.416666666666667
61,2019-09-13,6,6.416666666666667
62,2019-09-14,6,6.416666666666667
63,2019-09-15,6,6.416666666666667
64,2019-09-16,6,6.333333333333333
65,2019-09-17,6,6.333333333333333
66,2019-09-18,8,6.416666666666667
67,2019-09-19,7,6.416666666666667
68,2019-09-20,6,6.416666666666667
69,2019-09-21,6,6.333333333333333
70,2019-09-22,7,6.333333333333333
71,2019-09-23,8,6.5
72,2019-09-24,7,6.583333333333333
73,2019-09-25,6,6.583333333333333
74,2019-09-26,6,6.583333333333333
75,2019-09-27,6,6.583333333333333
76,2019-09-28,7,6.666666666666667
77,2019-09-29,6,6.666666666666667
78,2019-09-30,6,6.5
79,2019-10-01,6,6.416666666666667
80,2019-10-02,6,6.416666666666667
81,2019-10-03,6,6.416666666666667
82,2019-10-04,7,6.416666666666667
83,2019-10-05,6,6.25
84,2019-10-06,7,6.25
85,2019-10-07,7,6.333333333333333
86,2019-10-08,6,6.333333333333333
87,2019-10-09,6,6.333333333333333
88,2019-10-10,7,6.333333333333333
89,2019-10-11,6,6.333333333333333
90,2019-10-12,6,6.333333333333333
